FIPS_VTD,PRECINCT NAME,WD,CG,LEG,CM,S DST,S1,S2,C,V,MCD NAME        ,JD,TC,ME,MCD,PRCT,CC,COVTD,7am ,EDR,Signatures,AB-Reg,AB-Fed,AB-Pres,Ballots,PresR,PresDFL,PresG,PresCP,PresOther,PresLib,PresRP,PresRPM,PresSWP,USSenR,USSenDFL,USSenInd,USSenOther,USSenCP,USSenSWP,USSenLib,USSenGRP,CONG_DIST,CongR,CongDFL,CongInd,CongOther,CongCP,CongLib,MNSenR,MNSenDFL,MNSenInd,MNSenCP,MNSenNP,MNLegR,MNLegDFL,MNLegInd,MNLegCP,MNLegLib,MNLegG
0040005,AITKIN                 ,0,8,03B,1,100,0,0,N,P,AITKIN CITY                   ,9,C,N,004,0005,01,010005,1074,127,795,95,0,0,890,406,409,40,2,22,2,1,19,0,334,488,37,15,6,4,1,4,8,243,557,69,0,0,0,0,393,0,0,434,381,478,0,0,0,0
0050010,AITKIN TWP.            ,0,8,03B,1,100,0,0,N,P,AITKIN TOWNSHIP               ,9,T,N,005,0010,01,010010,626,60,467,45,0,0,512,282,202,16,0,9,1,1,7,0,242,231,19,18,3,3,1,11,8,174,287,42,0,0,0,0,217,0,0,269,259,237,0,0,0,0
0150015,BALL BLUFF TWP.        ,0,8,03B,5,69800,0,0,N,P,BALL BLUFF TOWNSHIP           ,9,T,N,015,0015,01,010015,214,20,175,8,0,0,183,85,77,15,0,4,0,0,4,0,82,90,4,5,0,3,0,2,8,50,119,12,0,0,0,0,87,0,0,93,64,117,0,0,0,0
0200020,BALSAM TWP.            ,0,8,03B,5,400,0,0,N,P,BALSAM TOWNSHIP               ,9,T,N,020,0020,01,010020,15,6,19,2,0,0,21,7,13,1,0,0,0,0,0,0,3,17,0,0,0,0,0,0,8,0,21,0,0,0,0,0,14,0,0,4,2,17,0,0,0,0
0250025,BEAVER TWP.            ,0,8,08B,3,400,0,0,N,P,BEAVER TOWNSHIP               ,9,T,N,025,0025,01,010025,37,9,34,3,0,0,37,10,22,4,0,0,0,0,0,0,9,25,1,0,0,0,0,0,8,4,29,3,0,0,0,8,29,0,0,0,8,29,0,0,0,0
0300030,CLARK TWP.             ,0,8,08B,4,9500,0,0,N,P,CLARK TOWNSHIP                ,9,T,N,030,0030,01,010030,101,13,88,1,0,0,89,38,46,2,0,2,1,0,1,0,32,54,2,1,0,0,1,0,8,18,65,6,0,0,0,15,71,0,0,0,23,63,0,0,0,0
0350035,CORNISH TWP.           ,0,8,03B,5,400,0,0,N,P,CORNISH TOWNSHIP              ,9,T,N,035,0035,01,010035,24,1,18,0,0,0,18,8,4,3,0,3,0,0,3,0,7,10,1,0,0,0,0,0,8,3,13,2,0,0,0,0,7,0,0,11,9,8,0,0,0,0
0400040,FARM ISLAND TWP.       ,0,8,08B,2,18200,0,0,N,P,FARM ISLAND TOWNSHIP          ,9,T,N,040,0040,01,010040,721,64,549,95,0,0,644,296,297,33,0,14,1,0,13,0,265,320,40,16,3,6,1,6,8,188,391,53,0,0,0,242,384,0,0,0,269,352,0,0,0,0
0450045,FLEMING TWP.           ,0,8,03B,4,400,0,0,N,P,FLEMING TOWNSHIP              ,9,T,N,045,0045,01,010045,235,16,182,16,0,0,198,93,81,13,0,8,1,0,7,0,76,93,18,8,2,2,1,3,8,58,123,14,0,0,0,0,87,0,0,102,78,115,0,0,0,0
0500050,GLEN TWP.              ,0,8,08B,3,100,0,0,N,P,GLEN TOWNSHIP                 ,9,T,N,050,0050,01,010050,285,24,233,35,0,0,268,106,137,15,1,7,0,1,5,1,96,147,12,9,5,2,1,1,8,61,182,21,0,0,0,77,181,0,0,0,100,156,0,0,0,0
0550055,HAUGEN TWP.            ,0,8,08B,4,9500,0,0,N,P,HAUGEN TOWNSHIP               ,9,T,N,055,0055,01,010055,105,5,81,0,13,0,94,33,43,12,0,4,0,0,4,0,30,51,8,1,1,0,0,0,8,20,62,8,0,0,0,32,58,0,0,0,31,57,0,0,0,0
0600060,HAZELTON TWP.          ,0,8,08B,2,100,0,0,N,P,HAZELTON TOWNSHIP             ,9,T,N,060,0060,01,010060,495,76,383,71,0,0,454,220,213,11,0,7,0,0,7,0,195,232,17,6,0,2,0,4,8,158,259,34,0,0,0,185,261,0,0,0,199,243,0,0,0,0
0650065,HILL CITY              ,0,8,03B,5,200,0,0,N,P,HILL CITY CITY                ,9,C,N,065,0065,01,010065,313,56,226,20,0,0,246,89,130,18,0,8,1,0,7,0,79,144,13,7,3,0,0,4,8,54,168,22,0,0,0,0,126,0,0,115,98,146,0,0,0,0
0700070,HILL LAKE TWP.         ,0,8,03B,5,200,0,0,N,P,HILL LAKE TOWNSHIP            ,9,T,N,070,0070,01,010070,297,51,242,12,1,0,255,126,101,16,4,6,0,0,6,0,108,123,12,9,4,4,0,1,8,73,167,12,0,0,0,0,107,0,0,140,117,131,0,0,0,0
0750075,IDUN TWP.              ,0,8,08B,3,400,0,0,N,P,IDUN TOWNSHIP                 ,9,T,N,075,0075,01,010075,122,12,89,0,7,0,96,35,51,7,0,3,0,0,3,0,27,60,3,5,2,1,0,2,8,19,63,11,0,0,0,25,66,0,0,0,27,63,0,0,0,0
0800080,JEVNE TWP.             ,0,8,03B,4,400,0,0,N,P,JEVNE TOWNSHIP                ,9,T,N,080,0080,01,010080,194,23,147,8,0,0,155,76,60,10,0,7,1,1,5,0,70,75,6,4,0,1,1,2,8,46,92,13,0,0,0,0,81,0,0,63,61,86,0,0,0,0
0850085,KIMBERLY TWP.          ,0,8,08B,3,400,0,0,N,P,KIMBERLY TOWNSHIP             ,9,T,N,085,0085,01,010085,167,19,128,20,0,0,148,74,62,5,0,7,1,0,6,0,66,69,6,5,3,0,0,2,8,39,99,7,0,0,0,54,89,0,0,0,51,88,0,0,0,0
0900090,LAKESIDE TWP.          ,0,8,08B,3,47300,0,0,N,P,LAKESIDE TOWNSHIP             ,9,T,N,090,0090,01,010090,356,34,264,45,0,0,309,144,147,8,0,8,1,0,7,0,122,159,20,7,0,0,2,5,8,76,203,26,0,0,0,115,185,0,0,0,133,165,0,0,0,0
0950095,LEE TWP.               ,0,8,08B,3,400,0,0,N,P,LEE TOWNSHIP                  ,9,T,N,095,0095,01,010095,34,3,27,1,0,0,28,17,9,2,0,0,0,0,0,0,14,12,1,1,0,0,0,1,8,10,15,2,0,0,0,13,14,0,0,0,16,11,0,0,0,0
1000100,LIBBY TWP. E           ,0,8,03B,5,400,0,0,N,P,LIBBY TOWNSHIP                ,9,T,N,100,0100,01,010100,22,2,20,0,0,0,20,12,8,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,8,7,12,1,0,0,0,0,8,0,0,12,8,11,0,0,0,0
1000105,LIBBY TWP. W           ,0,8,03B,5,100,0,0,N,P,LIBBY TOWNSHIP                ,9,T,N,100,0105,01,010105,15,0,10,0,0,0,10,1,7,2,0,0,0,0,0,0,1,6,1,0,0,0,0,0,8,0,6,2,0,0,0,0,5,0,0,3,1,8,0,0,0,0
1050110,LOGAN TWP.             ,0,8,03B,5,100,0,0,N,P,LOGAN TOWNSHIP                ,9,T,N,105,0110,01,010110,160,18,115,7,0,0,122,55,56,9,0,2,0,1,1,0,53,59,7,2,1,0,0,1,8,31,70,19,0,0,0,0,58,0,0,58,54,64,0,0,0,0
1100115,MCGRATH                ,0,8,08B,3,400,0,0,N,P,MCGRATH CITY                  ,9,C,N,110,0115,01,010115,45,2,33,1,0,0,34,16,10,3,3,2,0,0,2,0,15,10,3,6,3,2,0,1,8,12,18,4,0,0,0,18,16,0,0,0,19,15,0,0,0,0
1140120,MCGREGOR               ,0,8,08B,4,400,0,0,N,P,MCGREGOR CITY                 ,9,C,N,114,0120,01,010120,193,23,145,7,0,0,152,57,72,11,0,8,0,1,7,0,57,81,6,4,1,1,1,1,8,35,102,14,0,0,0,40,107,0,0,0,57,91,0,0,0,0
1150125,MCGREGOR TWP.          ,0,8,08B,4,400,0,0,N,P,MCGREGOR TOWNSHIP             ,9,T,N,115,0125,01,010125,69,5,50,5,0,0,55,20,26,2,1,5,0,0,5,0,20,28,5,1,0,1,0,0,8,15,35,4,0,0,0,18,37,0,0,0,21,33,0,0,0,0
1250130,MACVILLE TWP.          ,0,8,03B,5,200,0,0,N,P,MACVILLE TOWNSHIP             ,9,T,N,125,0130,01,010130,154,17,108,3,0,0,111,53,44,8,0,6,0,0,6,0,40,60,6,4,1,1,0,2,8,30,68,12,0,0,0,0,48,0,0,59,44,65,0,0,0,0
1320132,MILLWARD TWP.          ,0,8,08B,3,57700,0,0,N,P,MILLWARD TOWNSHIP             ,9,T,N,132,0132,01,010132,38,2,29,0,0,0,29,18,6,4,0,1,0,0,1,0,17,8,1,3,0,0,0,3,8,10,14,5,0,0,0,16,13,0,0,0,17,12,0,0,0,0
1300135,MALMO TWP.             ,0,8,08B,2,100,0,0,N,P,MALMO TOWNSHIP                ,9,T,N,130,0135,01,010135,202,12,156,17,0,0,173,58,100,6,0,7,0,0,7,0,43,117,5,5,1,2,1,1,8,34,120,15,0,0,0,43,124,0,0,0,55,111,0,0,0,0
1350140,MORRISON TWP.          ,0,8,03B,4,100,0,0,N,P,MORRISON TOWNSHIP             ,9,T,N,135,0140,01,010140,126,13,101,5,0,0,106,66,25,3,0,9,1,1,7,0,64,34,5,2,0,0,0,2,8,35,56,14,0,0,0,0,36,0,0,67,56,46,0,0,0,0
1400145,NORDLAND TWP.          ,0,8,08B,2,100,0,0,N,P,NORDLAND TOWNSHIP             ,9,T,N,140,0145,01,010145,599,53,482,56,0,0,538,250,248,26,1,10,1,0,9,0,228,274,27,6,2,1,2,1,8,168,329,37,0,0,0,215,313,0,0,0,242,274,0,0,0,0
1450150,PALISADE               ,0,8,03B,5,100,0,0,N,P,PALISADE CITY                 ,9,C,N,145,0150,01,010150,107,13,68,0,5,0,73,28,44,1,0,0,0,0,0,0,20,49,1,3,0,0,1,2,8,9,56,7,0,0,0,0,37,0,0,31,14,56,0,0,0,0
1500155,PLINY TWP.             ,0,8,08B,3,400,0,0,N,P,PLINY TOWNSHIP                ,9,T,N,150,0155,01,010155,75,5,55,0,4,0,59,35,15,6,1,1,0,0,1,0,30,23,4,2,0,0,0,2,8,27,27,4,0,0,0,35,24,0,0,0,30,29,0,0,0,0
1550160,RICE RIVER TWP.        ,0,8,08B,3,400,0,0,N,P,RICE RIVER TOWNSHIP           ,9,T,N,155,0160,01,010160,87,9,77,2,0,0,79,38,29,6,0,5,0,0,5,0,40,30,4,3,0,0,0,3,8,22,51,5,0,0,0,24,53,0,0,0,33,41,0,0,0,0
1600165,SALO TWP.              ,0,8,08B,3,400,0,0,N,P,SALO TOWNSHIP                 ,9,T,N,160,0165,01,010165,63,3,55,2,0,0,57,22,25,6,0,4,1,0,3,0,24,29,2,2,0,1,0,1,8,15,36,6,0,0,0,20,35,0,0,0,20,35,0,0,0,0
1650170,SEAVEY TWP.            ,0,8,08B,3,47300,0,0,N,P,SEAVEY TOWNSHIP               ,9,T,N,165,0170,01,010170,40,2,34,1,0,0,35,15,15,3,0,2,2,0,0,0,16,15,2,2,2,0,0,0,8,13,19,2,0,0,0,16,18,0,0,0,19,15,0,0,0,0
1700175,SHAMROCK TWP.          ,0,8,08B,4,400,0,0,N,P,SHAMROCK TOWNSHIP             ,9,T,N,170,0175,01,010175,797,74,577,118,0,0,695,302,352,25,0,12,0,0,12,0,280,387,13,6,0,2,2,2,8,198,429,51,0,0,0,248,426,0,0,0,270,396,0,0,0,0
1750180,SPALDING TWP.          ,0,8,08B,3,400,0,0,N,P,SPALDING TOWNSHIP             ,9,T,N,175,0180,01,010180,115,21,93,6,0,0,99,32,54,10,0,2,0,0,2,0,25,59,3,9,0,0,1,8,8,26,63,7,0,0,0,29,68,0,0,0,25,69,0,0,0,0
1800185,SPENCER TWP.           ,0,8,03B,2,100,0,0,N,P,SPENCER TOWNSHIP              ,9,T,N,180,0185,01,010185,323,12,249,31,0,0,280,149,110,7,0,14,2,1,8,3,138,122,13,2,1,1,0,0,8,88,170,13,0,0,0,0,121,0,0,146,140,130,0,0,0,0
1850190,TAMARACK               ,0,8,08B,4,400,0,0,N,P,TAMARACK CITY                 ,9,C,N,185,0190,01,010190,45,4,31,1,0,0,32,11,17,1,0,3,0,0,3,0,12,19,1,0,0,0,0,0,8,4,23,4,0,0,0,7,25,0,0,0,15,16,0,0,0,0
1900195,TURNER TWP.            ,0,8,03B,4,400,0,0,N,P,TURNER TOWNSHIP               ,9,T,N,190,0195,01,010195,100,24,81,16,0,0,97,45,51,1,0,0,0,0,0,0,40,53,3,1,1,0,0,0,8,38,53,5,0,0,0,0,46,0,0,47,38,56,0,0,0,0
1950200,VERDON TWP.            ,0,8,03B,5,400,0,0,N,P,VERDON TOWNSHIP               ,9,T,N,195,0200,01,010200,39,3,31,4,0,0,35,14,14,3,0,4,0,0,4,0,18,13,2,0,0,0,0,0,8,12,20,1,0,0,0,0,8,0,0,23,18,14,0,0,0,0
2000205,WAGNER TWP.            ,0,8,08B,3,58000,0,0,N,P,WAGNER TOWNSHIP               ,9,T,N,200,0205,01,010205,185,37,179,18,0,0,197,82,103,3,4,4,1,1,2,0,78,103,5,10,3,4,1,2,8,51,130,14,0,0,0,75,118,0,0,0,83,112,0,0,0,0
2050210,WAUKENABO TWP.         ,0,8,03B,5,100,0,0,N,P,WAUKENABO TOWNSHIP            ,9,T,N,205,0210,01,010210,270,14,202,16,0,0,218,98,99,7,1,12,0,0,12,0,101,107,4,5,4,0,0,1,8,70,128,16,0,0,0,0,99,0,0,102,90,122,0,0,0,0
2100215,WEALTHWOOD TWP.        ,0,8,08B,2,100,0,0,N,P,WEALTHWOOD TOWNSHIP           ,9,T,N,210,0215,01,010215,183,15,151,10,0,0,161,63,87,4,0,6,2,1,3,0,53,91,10,6,0,2,2,2,8,42,107,12,0,0,0,51,109,0,0,0,53,106,0,0,0,0
2150220,WHITE PINE TWP.        ,0,8,08B,3,57700,0,0,N,P,WHITE PINE TOWNSHIP           ,9,T,N,215,0220,01,010220,52,1,35,2,0,0,37,18,15,0,0,4,0,0,4,0,15,19,3,0,0,0,0,0,8,11,24,2,0,0,0,11,22,0,0,0,12,23,0,0,0,0
2200225,WILLIAMS TWP.          ,0,8,08B,3,57000,0,0,N,P,WILLIAMS TOWNSHIP             ,9,T,N,220,0225,01,010225,74,8,63,2,0,0,65,27,26,5,0,7,0,0,7,0,28,29,4,3,2,1,0,0,8,24,38,3,0,0,0,22,42,0,0,0,28,36,0,0,0,0
2250230,WORKMAN TWP.           ,0,8,03B,4,400,0,0,N,P,WORKMAN TOWNSHIP              ,9,T,N,225,0230,01,010230,119,17,100,8,0,0,108,25,68,10,0,5,0,0,5,0,35,70,2,0,0,0,0,0,8,16,79,12,0,0,0,0,66,0,0,37,27,79,0,0,0,0
0040005,ANDOVER P-1            ,0,6,50B,1,1500,0,0,Y,O,ANDOVER CITY                  ,10,C,N,004,0005,02,020005,1856,229,1578,103,0,0,1681,931,668,69,3,10,3,1,6,0,920,629,91,31,8,9,4,10,6,873,721,0,40,40,0,884,595,88,31,0,988,603,0,0,0,0
0040010,ANDOVER P-3            ,0,6,50B,5,1104,0,0,N,O,ANDOVER CITY                  ,10,C,N,004,0010,02,020010,1807,249,1520,85,0,0,1605,879,648,57,1,14,0,2,12,0,867,593,105,27,4,9,2,12,6,823,698,0,40,40,0,839,564,88,28,0,987,512,0,0,0,0
0040015,ANDOVER P-6            ,0,6,50B,5,1104,0,0,Y,O,ANDOVER CITY                  ,10,C,N,004,0015,02,020015,2430,539,2405,108,0,0,2513,1474,957,62,0,15,4,0,11,0,1438,890,151,19,5,4,2,8,6,1358,1051,0,42,42,0,1429,776,143,37,0,1593,769,0,0,0,0
0040016,ANDOVER P-8            ,0,6,50B,1,1104,0,0,Y,O,ANDOVER CITY                  ,10,C,N,004,0016,02,020016,1144,261,1099,49,0,0,1148,681,424,40,1,1,0,0,1,0,674,403,58,7,1,3,0,3,6,614,482,0,17,17,0,639,389,50,15,0,719,351,0,0,0,0
0040020,ANDOVER P-7            ,0,6,50B,1,1104,0,0,Y,O,ANDOVER CITY                  ,10,C,N,004,0020,02,020020,1519,323,1470,68,0,0,1538,959,512,53,2,6,0,1,4,1,921,510,81,19,1,7,2,9,6,893,582,0,29,29,0,914,454,66,31,0,1033,418,0,0,0,0
0040021,ANDOVER P-2            ,0,6,50B,1,1104,0,0,Y,O,ANDOVER CITY                  ,10,C,N,004,0021,02,020021,1841,250,1578,93,2,0,1673,913,669,65,6,19,4,1,14,0,889,623,116,35,7,12,3,13,6,860,728,0,39,39,0,846,608,95,44,0,1023,561,0,0,0,0
0040022,ANDOVER P-4            ,0,6,50B,5,1104,0,0,Y,O,ANDOVER CITY                  ,10,C,N,004,0022,02,020022,847,131,755,52,0,0,807,443,327,23,0,10,3,2,5,0,431,307,42,10,2,4,2,2,6,424,333,0,17,17,0,451,263,36,17,0,485,263,0,0,0,0
0040023,ANDOVER P-5            ,0,6,50B,5,1104,0,0,Y,O,ANDOVER CITY                  ,10,C,N,004,0023,02,020023,1322,202,1140,57,0,0,1197,597,535,47,4,12,2,4,5,1,600,482,85,23,4,7,3,9,6,567,562,0,34,34,0,546,503,69,23,0,666,456,0,0,0,0
0040024,ANDOVER P-9            ,0,6,50B,1,1500,0,0,Y,O,ANDOVER CITY                  ,10,C,N,004,0024,02,020024,1393,198,1234,69,0,0,1303,698,530,56,1,17,4,0,12,1,704,486,83,22,3,7,3,9,6,649,579,0,32,32,0,646,477,84,30,0,757,460,0,0,0,0
0050025,ANOKA P-1              ,0,6,49A,1,1101,0,0,N,O,ANOKA CITY                    ,10,C,N,005,0025,02,020025,1054,161,748,97,0,0,845,387,399,45,3,6,0,0,6,0,372,394,45,23,3,7,4,9,6,353,433,0,25,25,0,373,432,0,0,0,435,361,0,0,0,0
0050030,ANOKA P-2              ,0,6,49A,1,1101,0,0,N,O,ANOKA CITY                    ,10,C,N,005,0030,02,020030,1365,275,1001,80,2,0,1083,574,440,48,1,13,3,1,9,0,539,447,64,25,4,8,2,11,6,533,487,0,33,33,0,549,494,0,0,0,614,423,0,0,0,0
0050035,ANOKA P-3              ,0,6,49A,1,1101,0,0,N,O,ANOKA CITY                    ,10,C,N,005,0035,02,020035,1302,182,1020,77,0,0,1097,531,510,39,1,7,1,0,5,1,549,453,65,20,6,8,1,5,6,485,559,0,19,19,0,511,543,0,0,0,632,428,0,0,0,0
