VTDID,PCTNAME,PCTCODE,MCDNAME,MCDCODE,MCDFIPS,COUNTYNAME,COUNTYCODE,COUNTYFIPS,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,WARD,TABSYSTEM,TABMODEL,REG7AM,EDR,SIGNATURES,AB,FEDONLYAB,TOTVOTING,USPRSGP,USPRSR,USPRSDFL,USPRSSEP,USPRSSWP,USPRSCFP,USPRSBL,USPRSCP,USPRSLIB,USPRSWI,USPRSTOTAL,USREPGP,USREPIP,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNLEGGP,MNLEGIP,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL
270010005,AITKIN,5,AITKIN,4,460,AITKIN,1,001,8,03,03B,01,09,00,,2,Model 100,1126,230,916,134,0,1050,1,541,475,1,1,1,16,0,2,1,1039,21,0,374,592,0,987,0,0,523,484,1,1008
270010010,AITKIN TWP.,10,AITKIN TWP,5,478,AITKIN,1,001,8,03,03B,01,09,00,,2,Model 100,549,89,467,54,0,521,0,325,190,0,0,0,1,0,2,0,518,4,0,241,259,0,504,0,0,302,208,0,510
270010015,BALL BLUFF TWP.,15,BALL BLUFF TWP,15,3358,AITKIN,1,001,8,03,03B,05,09,00,,3,Not Appli,207,37,185,9,0,194,1,84,109,0,0,0,0,0,0,0,194,2,0,60,122,0,184,0,0,70,119,0,189
270010020,BALSAM TWP.,20,BALSAM TWP,20,3412,AITKIN,1,001,8,03,03B,05,09,00,,3,Not Appli,25,6,26,4,0,30,0,12,18,0,0,0,0,0,0,0,30,0,0,7,22,0,29,0,0,7,21,0,28
270010025,BEAVER TWP.,25,BEAVER TWP,25,4384,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,45,1,39,2,0,41,0,10,31,0,0,0,0,0,0,0,41,1,0,6,33,0,40,0,0,9,30,0,39
270010030,CLARK TWP.,30,CLARK TWP,30,11620,AITKIN,1,001,8,03,03B,04,09,00,,3,Not Appli,106,15,96,6,0,102,0,47,53,0,0,0,1,0,0,0,101,0,0,31,68,0,99,0,0,41,60,0,101
270010035,CORNISH TWP.,35,CORNISH TWP,35,13330,AITKIN,1,001,8,03,03B,05,09,00,,3,Not Appli,26,2,23,0,0,23,0,9,13,0,0,0,1,0,0,0,23,0,0,5,17,0,22,0,0,11,11,0,22
270010038,DAVIDSON UNORG. 47-24,38,DAVIDSON UNORG. 47-24,38,14903,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,20,5,23,2,0,25,0,9,15,0,0,0,1,0,0,0,25,3,0,1,19,0,23,0,0,8,16,0,24
270010040,FARM ISLAND TWP.,40,FARM ISLAND TWP,40,20654,AITKIN,1,001,8,03,03B,02,09,00,,2,Model 100,766,74,647,99,0,746,0,388,343,0,0,2,4,2,2,0,741,5,0,291,415,1,712,0,0,369,361,0,730
270010045,FLEMING TWP.,45,FLEMING TWP,45,21230,AITKIN,1,001,8,03,03B,04,09,00,,3,Not Appli,228,36,197,25,0,222,1,131,88,1,0,0,0,0,0,0,221,4,0,94,112,0,210,0,0,116,97,0,213
270010050,GLEN TWP.,50,GLEN TWP,50,23930,AITKIN,1,001,8,03,03B,03,09,00,,2,Model 100,303,46,249,62,0,311,0,145,161,0,0,0,2,0,0,0,308,5,0,95,196,0,296,0,0,129,173,0,302
270010055,HAUGEN TWP.,55,HAUGEN TWP,55,27602,AITKIN,1,001,8,03,03B,04,09,00,,3,Not Appli,126,18,108,9,0,117,0,52,64,0,0,0,0,0,1,0,117,3,0,40,71,0,114,0,0,48,65,0,113
270010060,HAZELTON TWP.,60,HAZELTON TWP,60,28052,AITKIN,1,001,8,03,03B,02,09,00,,2,Model 100,530,72,423,74,0,497,0,265,221,0,0,0,2,0,1,0,489,7,0,207,254,1,469,0,0,256,217,1,474
270010065,HILL CITY,65,HILL CITY,65,29096,AITKIN,1,001,8,03,03B,05,09,00,,2,Model 100,329,50,250,17,0,267,0,105,156,0,0,0,4,0,1,0,266,5,0,76,177,1,259,0,0,100,157,1,258
270010070,HILL LAKE TWP.,70,HILL LAKE TWP,70,29114,AITKIN,1,001,8,03,03B,05,09,00,,2,Model 100,233,42,221,13,0,234,0,111,116,0,0,1,2,3,0,0,233,3,0,79,145,0,227,0,0,108,122,0,230
270010075,IDUN TWP.,75,IDUN TWP,75,30788,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,124,23,111,6,0,117,0,52,63,0,0,0,0,0,0,0,115,2,0,33,76,0,111,0,0,42,66,0,108
270010080,JEVNE TWP.,80,JEVNE TWP,80,31958,AITKIN,1,001,8,03,03B,04,09,00,,3,Not Appli,194,25,174,20,1,195,0,102,91,0,0,0,2,0,0,0,195,2,0,66,115,0,183,0,0,86,98,0,184
270010082,JEWETT UNORG. 45-24,82,JEWETT UNORG. 45-24,82,31966,AITKIN,1,001,8,03,03B,03,09,00,,3,Not Appli,20,7,23,1,0,24,0,9,13,0,0,1,0,1,0,0,24,0,0,9,14,0,23,0,0,9,14,0,23
